deg,cl,cd,cm
-6.00000,0.04785,0.03699,-0.14713
-5.50000,0.08912,0.01912,-0.15503
-5.00000,0.14251,0.01687,-0.15506
-4.50000,0.19794,0.01526,-0.15495
-4.00000,0.25392,0.01433,-0.15473
-3.50000,0.30932,0.01334,-0.15449
-3.00000,0.36485,0.01260,-0.15422
-2.50000,0.42058,0.01204,-0.15395
-2.00000,0.47549,0.01153,-0.15362
-1.50000,0.52990,0.01125,-0.15319
-1.00000,0.58447,0.01103,-0.15284
-0.50000,0.63838,0.01090,-0.15244
0.00000,0.69188,0.01079,-0.15202
0.50000,0.74118,0.00994,-0.15108
1.00000,0.79378,0.00965,-0.14978
1.50000,0.84722,0.00999,-0.14931
2.00000,0.90060,0.01035,-0.14887
2.50000,0.95408,0.01074,-0.14850
3.00000,1.00764,0.01116,-0.14819
3.50000,1.06134,0.01160,-0.14793
4.00000,1.11380,0.01199,-0.14747
4.50000,1.16672,0.01245,-0.14714
5.00000,1.22032,0.01297,-0.14697
5.50000,1.27107,0.01338,-0.14625
6.00000,1.32261,0.01390,-0.14574
6.50000,1.37478,0.01446,-0.14536
7.00000,1.42238,0.01492,-0.14411
7.50000,1.46871,0.01542,-0.14262
8.00000,1.50593,0.01580,-0.13929
8.50000,1.54434,0.01634,-0.13636
9.00000,1.57828,0.01689,-0.13264
9.50000,1.60549,0.01755,-0.12775
