deg,cl,cd,cm
0.0,0.40322327613830566,0.011661243624985218,-0.08479966968297958
0.5,0.45856261253356934,0.012017972767353058,-0.08471602201461792
1.0,0.513873815536499,0.012405908666551113,-0.0846673771739006
1.5,0.5690959095954895,0.012825672514736652,-0.08463359624147415
2.0,0.6241554021835327,0.013271729461848736,-0.08458061516284943
2.5,0.6790177226066589,0.013737203553318977,-0.08448605984449387
3.0,0.7336094975471497,0.01419375091791153,-0.08428603410720825
3.5,0.7879112362861633,0.01461054477840662,-0.0839371457695961
4.0,0.8419862389564514,0.01494938600808382,-0.08339852839708328
4.5,0.896020233631134,0.015200937166810036,-0.08268450200557709
5.0,0.9488510489463806,0.01545687485486269,-0.08192901313304901
5.5,1.0022398233413696,0.015491437166929245,-0.08088165521621704
6.0,1.0542302131652832,0.015525984577834606,-0.07972694933414459
6.5,1.1035892963409424,0.015155371278524399,-0.07770048081874847
7.0,1.149146318435669,0.015299571678042412,-0.07555778324604034
7.5,1.1811491250991821,0.017292113974690437,-0.07240591198205948
8.0,1.1869003772735596,0.02267678827047348,-0.06730944663286209
8.5,1.2034918069839478,0.02645367942750454,-0.06272411346435547
9.0,1.219688892364502,0.029680371284484863,-0.05819914862513542
9.5,1.2344175577163696,0.03401212394237518,-0.05353834107518196
10.0,1.272240161895752,0.03769801929593086,-0.05086043104529381
10.5,1.3077716827392578,0.04179440438747406,-0.04848213866353035
11.0,1.3382463455200195,0.047754403203725815,-0.045812685042619705
11.5,1.3417943716049194,0.0547959990799427,-0.04152324050664902
