deg,cl,cd,cm
-6.00000,0.03456,0.01800,-0.15396
-5.50000,0.08861,0.01664,-0.15383
-5.00000,0.14381,0.01540,-0.15366
-4.50000,0.19937,0.01450,-0.15341
-4.00000,0.25481,0.01393,-0.15309
-3.50000,0.30965,0.01327,-0.15275
-3.00000,0.36424,0.01273,-0.15234
-2.50000,0.41856,0.01224,-0.15193
-2.00000,0.47327,0.01198,-0.15156
-1.50000,0.52768,0.01177,-0.15116
-1.00000,0.58096,0.01164,-0.15061
-0.50000,0.63429,0.01157,-0.15010
0.00000,0.68746,0.01151,-0.14964
0.50000,0.73934,0.01113,-0.14922
1.00000,0.79102,0.01031,-0.14772
1.50000,0.84416,0.01066,-0.14723
2.00000,0.89752,0.01103,-0.14682
2.50000,0.95136,0.01145,-0.14653
3.00000,1.00413,0.01182,-0.14607
3.50000,1.05711,0.01224,-0.14570
4.50000,1.16244,0.01311,-0.14492
5.00000,1.21590,0.01363,-0.14474
5.50000,1.26618,0.01405,-0.14395
6.00000,1.31796,0.01460,-0.14352
6.50000,1.36745,0.01507,-0.14263
7.00000,1.41635,0.01563,-0.14171
7.50000,1.46586,0.01617,-0.14090
8.00000,1.50886,0.01670,-0.13889
8.50000,1.55213,0.01727,-0.13695
9.00000,1.58563,0.01776,-0.13314
9.50000,1.61198,0.01833,-0.12806
