deg,cl,cd,cm
-4.50000,0.17665,0.02159,-0.15353
-4.00000,0.24060,0.01945,-0.15470
-3.50000,0.29734,0.01758,-0.15476
-3.00000,0.35514,0.01624,-0.15472
-2.50000,0.41293,0.01526,-0.15460
-2.00000,0.46876,0.01438,-0.15430
-1.50000,0.52329,0.01382,-0.15373
-1.00000,0.57900,0.01340,-0.15342
-0.50000,0.63505,0.01302,-0.15327
0.00000,0.68766,0.01265,-0.15270
0.50000,0.73757,0.01129,-0.15077
1.00000,0.79263,0.01161,-0.15045
1.50000,0.84711,0.01199,-0.15012
2.00000,0.90072,0.01241,-0.14971
2.50000,0.95467,0.01285,-0.14941
3.00000,1.00859,0.01332,-0.14915
3.50000,1.06107,0.01381,-0.14868
4.00000,1.11365,0.01434,-0.14827
4.50000,1.16667,0.01491,-0.14796
5.50000,1.27117,0.01607,-0.14713
6.00000,1.32186,0.01672,-0.14649
6.50000,1.37449,0.01737,-0.14619
7.00000,1.42394,0.01799,-0.14530
7.50000,1.47048,0.01866,-0.14392
8.00000,1.51474,0.01913,-0.14194
8.50000,1.55182,0.01941,-0.13848
9.00000,1.58603,0.01993,-0.13476
9.50000,1.61587,0.02052,-0.13032
